id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description,Column1,_1
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id. Examples: magiclib_fury_racing, magiclib_onslaught_pirate,,,,,,,,,
# hullIds: Required. The ids of the hull that this paintjob applies to. Must contain at least one valid hull id.,,,,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,,,,
# paintjobFamily: Optional. The name of the paintjob family this paintjob belongs to. Used for Weapon and Module paintjobs.,,,,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,,,,
# tags: Optional.,,,,,,,,,,
#    MagicLib_PermanentPJ: The paintjob is permanent. It cannot be removed or changed by the player.,,,,,,,,,,
#    MagicLib_ShinyPJ: The paintjob will appear in NPC fleets very rarely. It is permanent and **cannot be unlocked by the player**.,,,,,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,,,,
,,,,,,,,,,
# More info: https://starsector.wiki.gg/wiki/MagicLib#Ship_Sprite,,,,,,,,,,
,,,,,,,,,,
# Example,,,,,,,,,,
# magiclib_hullid_examplePaintjob,fury,Whitefox,Whitefox,graphics/ships/magicPaintjob_example_ship.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Whitefox Fury sprite by Nes.,,
,,,,,,,,,,
# NAVY - Credits to Tariflette,,,,,,,,,,
navy_diableavionics_calm_deck,diableavionics_calm_deck,Navy,Navy,graphics/paintjobs/diable_avionics_navy/navy_diableavionics_calm_deck.png,TRUE,,,,,
navy_diableavionics_chinook,diableavionics_chinook,Navy,Navy,graphics/paintjobs/diable_avionics_navy/navy_diableavionics_chinook.png,TRUE,,,,,
navy_diableavionics_cirrus,diableavionics_cirrus,Navy,Navy,graphics/paintjobs/diable_avionics_navy/navy_diableavionics_cirrus.png,TRUE,,,,,
